subset,class,spec,hero_talent,role,parses,runs,characters,avg_dps,median_dps,p90_dps,avg_deaths,deathless_pct,avg_item_level,gear_known,pct_no_set,pct_2set,pct_4set,avg_player_rating
all,DeathKnight,Blood,Deathbringer,Tank,6576,6576,2994,103038,103112,136250,0.14,89.9,299.3,222,56.8,31.1,12.2,2940.0
all,DeathKnight,Blood,San'layn,Tank,34327,34325,10050,121605,121685,160307,0.13,90.4,303.0,1596,39.0,37.2,23.8,2978.0
all,DeathKnight,Blood,Unknown,Tank,1410,1410,922,118538,118703,159885,0.15,89.2,301.9,0,,,,2930.0
all,DeathKnight,Frost,Deathbringer,DPS,2423,2418,1164,172848,176926,230711,0.42,71.4,298.6,117,33.3,36.8,29.9,2926.0
all,DeathKnight,Frost,Rider of the Apocalypse,DPS,145,145,90,152585,150646,211645,0.32,76.6,297.1,3,33.3,0.0,66.7,2893.0
all,DeathKnight,Frost,Unknown,DPS,94,93,60,171856,177958,226705,0.47,68.1,297.1,0,,,,3065.0
all,DeathKnight,Unholy,Rider of the Apocalypse,DPS,7368,7298,3174,182492,185016,240646,0.38,73.0,298.8,300,39.0,24.0,37.0,2959.0
all,DeathKnight,Unholy,San'layn,DPS,3850,3818,1453,211167,213747,270017,0.4,70.2,301.7,229,27.9,28.4,43.7,2948.0
all,DeathKnight,Unholy,Unknown,DPS,411,403,295,186351,189237,257227,0.49,65.7,298.4,0,,,,2959.0
all,DemonHunter,Devourer,Annihilator,DPS,7369,7316,2420,198478,202545,251747,0.66,56.0,299.8,323,45.8,26.0,28.2,2993.0
all,DemonHunter,Devourer,Fel-Scarred,DPS,2,2,2,135677,135677,155470,1.0,50.0,301.5,0,,,,2998.0
all,DemonHunter,Devourer,Unknown,DPS,546,536,330,190437,193554,243446,0.81,51.6,300.1,0,,,,2948.0
all,DemonHunter,Devourer,Void-Scarred,DPS,7466,7405,2729,187393,190553,241878,0.74,55.1,301.8,330,26.1,28.2,45.8,2952.0
